time, x, y, z
0.00000, 0.30469, -0.03125, 1.08594 
0.00050, 0.28125, -0.09375, 1.11719 
0.00100, 0.35156, -0.03906, 1.05469 
0.00150, 0.28125, 0.00000, 1.07812 
0.00200, 0.33594, 0.07812, 1.07031 
0.00250, 0.33594, -0.01562, 1.01562 
0.00300, 0.31250, -0.02344, 1.08594 
0.00350, 0.29688, -0.02344, 1.09375 
0.00400, 0.35156, -0.05469, 1.09375 
0.00450, 0.30469, -0.09375, 1.07031 
0.00500, 0.26562, 0.02344, 0.95312 
0.00550, 0.32812, -0.07031, 1.05469 
0.00600, 0.35156, 0.00000, 1.03906 
0.00650, 0.29688, -0.02344, 1.07812 
0.00700, 0.34375, -0.10156, 1.23438 
0.00750, 0.32812, -0.06250, 1.09375 
0.00800, 0.34375, -0.06250, 1.06250 
0.00850, 0.32812, -0.07031, 1.16406 
0.00900, 0.33594, -0.01562, 1.03906 
0.00950, 0.31250, -0.07031, 1.07812 
0.01000, 0.32031, -0.04688, 1.05469 
0.01050, 0.34375, 0.00000, 1.06250 
0.01100, 0.34375, -0.07031, 1.07812 
0.01150, 0.23438, 0.02344, 1.03906 
0.01200, 0.32031, -0.05469, 1.11719 
0.01250, 0.35156, -0.05469, 1.05469 
0.01300, 0.29688, -0.07031, 1.19531 
0.01350, 0.35156,
