time, x, y, z
0.00000, 0.31250, -0.05469, 1.06250 
0.00050, 0.28906, 0.01562, 1.04688 
0.00100, 0.32031, -0.07031, 1.17188 
0.00150, 0.28125, 0.00000, 1.17188 
0.00200, 0.32812, -0.04688, 1.15625 
0.00250, 0.31250, 0.00781, 1.00000 
0.00300, 0.39062, 0.03906, 1.09375 
0.00350, 0.32812, -0.05469, 1.08594 
0.00400, 0.32812, -0.07812, 1.07812 
0.00450, 0.31250, 0.02344, 1.08594 
0.00500, 0.43750, -0.04688, 1.01562 
0.00550, 0.32031, -0.09375, 1.13281 
0.00600, 0.34375, -0.05469, 1.07031 
0.00650, 0.26562, 0.00000, 1.05469 
0.00700, 0.35156, -0.04688, 1.05469 
0.00750, 0.32812, 0.00000, 1.03906 
0.00800, 0.31250, -0.03906, 1.04688 
0.00850, 0.31250, -0.05469, 1.06250 
0.00900, 0.35938, -0.03125, 1.16406 
0.00950, 0.31250, -0.03906, 1.06250 
0.01000, 0.28125, 0.03125, 1.03906 
0.01050, 0.39844, 0.01562, 1.09375 
0.01100, 0.32031, -0.10938, 1.09375 
0.01150, 0.30469, -0.02344, 1.02344 
0.01200, 0.42188, -0.03125, 1.10938 
0.01250, 0.32031, -0.04688, 1.00781 
0.01300, 0.26562, -0.01562, 1.03906 
0.01350, 0.31250, 0.
