# f,ax,ay,az
0.000000000000000000e+00,1.212987966934216512e-03,6.257482644957340981e-03,1.684126730740125089e+00
5.000000000000000000e-01,6.108296651552647593e-04,3.099589596712375942e-03,8.404315566657321046e-01
1.000000000000000000e+00,3.853050366348971916e-07,3.553197327897555887e-07,9.989676960120511724e-07
1.500000000000000000e+00,3.687827486386333681e-07,3.568214524203834191e-07,6.296272144729030597e-07
2.000000000000000000e+00,2.684209332369891279e-06,1.956813974885927456e-07,1.683448645976165461e-06
2.500000000000000000e+00,1.329871974148712036e-06,5.286597773985359984e-07,5.411181514156095074e-07
3.000000000000000000e+00,1.412672095344860557e-07,1.249259269371806846e-08,2.413454690033317003e-07
3.500000000000000000e+00,9.908631199431378662e-08,4.284456708229313042e-08,4.127364817595372078e-06
4.000000000000000000e+00,8.655001254922731468e-07,3.374859632050489485e-07,2.975904621667679537e-06
4.500000000000000000e+00,3.194539885996608719e-07,4.781717398718984545e-07,1.530074673332964522e-06
5.000000000000000000e+00,4.864879849001063938e-07,1.186157276539424879e-06,2.625015261009881537e-06
5.500000000000000000e+00,1.472381150775769414e-06,2.282591936846919380e-06,2.665155078204382072e-06
6.000000000000000000e+00,1.421688556826616988e-06,8.264512787221585021e-07,1.585842888262498752e-06
6.500000000000000000e+00,9.121056343523186138e-07,2.371194320411428883e-06,4.945955324100636717e-07
7.000000000000000000e+00,4.732293481092979819e-07,3.565537802471017457e-07,1.942538224196721065e-06
7.500000000000000000e+00,1.394809177617197876e-06,1.895394023460904629e-06,4.378231244483460264e-06
8.000000000000000000e+00,1.296524994269258462e-06,9.602729267464124029e-07,9.210819646458747625e-07
8.500000000000000000e+00,7.549231659806489330e-07,8.222568446060084438e-07,1.505781509603383916e-06
9.000000000000000000e+00,4.781753084752721298e-07,5.407389859131163741e-07,1.371700058054037611e-07
9.500000000000000000e+00,1.566407544110793597e-06,1.106976981633944879e-07,1.023479328404870738e-06
1.000000000000000000e+01,6.747357315606658163e-07,1.773517680507833948e-08,9.690504982358751360e-07
1.050000000000000000e+01,7.962091357884619883e-07,7.718780025970401781e-07,3.615617021677716110e-06
1.100000000000000000e+01,2.048408330772838460e-06,1.255263560900435015e-06,2.828083105029286048e-07
1.150000000000000000e+01,3.278742153890010517e-06,3.078928708011840489e-06,9.818519168564256254e-07
1.200000000000000000e+01,2.933954205974283545e-06,3.583769667808771700e-06,2.805181285486740316e-06
1.250000000000000000e+01,2.848215882923098955e-06,6.442604789768969816e-07,4.013532237824337264e-06
1.300000000000000000e+01,7.356493085970280271e-07,5.957775915024331585e-07,2.193451332216824240e-06
1.350000000000000000e+01,1.589084540487051506e-07,8.991821335472605663e-07,1.144126879582918939e-06
1.400000000000000000e+01,8.450149767260271097e-08,6.942395130842990831e-07,1.066177605653441267e-06
1.450000000000000000e+01,4.083236203998006185e-08,5.962279817352639531e-07,2.105343249111648641e-07
1.500000000000000000e+01,1.323048566363112931e-07,1.453809658653161555e-06,1.396527331114737632e-06
1.550000000000000000e+01,6.504193468886718496e-07,1.567246936109564781e-06,2.048820131578546423e-06
1.600000000000000000e+01,5.550097624883018167e-07,4.153703541666073243e-08,4.116562031338870479e-06
1.650000000000000000e+01,1.815016191279956204e-06,1.108295911563868749e-08,2.486902536040665789e-06
1.700000000000000000e+01,2.017910938268873096e-06,1.430037476352466624e-07,1.220836265488780543e-06
