# f,ax,ay,az
5.000000000000000000e+01,4.749856474120784375e-07,2.687817139565039308e-07,8.707313150046831074e-07
5.050000000000000000e+01,8.361115361896491157e-08,2.735705106237997212e-07,1.772923396359988533e-06
5.100000000000000000e+01,2.747808055276001317e-07,5.403005106170391345e-07,1.721064074665946451e-06
5.150000000000000000e+01,1.191703012658042828e-06,6.687955963005048092e-07,1.347144596492980561e-06
5.200000000000000000e+01,5.091888962254840757e-07,7.392770560651439550e-08,5.524442988689436407e-07
5.250000000000000000e+01,3.887317751301920816e-07,3.220035931857686805e-07,7.832502430638960466e-07
5.300000000000000000e+01,4.415352717600502536e-07,1.563157367553664311e-06,3.732175282065618309e-07
5.350000000000000000e+01,4.765155462682076071e-07,2.740910190059219566e-07,4.474132140315063099e-07
5.400000000000000000e+01,1.301282343818394067e-06,4.916471230950357513e-07,1.474775474579789256e-07
5.450000000000000000e+01,1.751651340555638984e-06,4.625151197734379248e-07,5.407746670629044582e-07
5.500000000000000000e+01,1.210819707978997856e-06,1.930467403506772616e-06,1.119766348443204446e-06
5.550000000000000000e+01,3.538881437543466728e-07,5.051906752068047876e-07,1.249704689782819210e-06
5.600000000000000000e+01,1.261866449314722601e-06,6.582564860728155358e-07,4.035929119097132699e-06
5.650000000000000000e+01,1.505593594416459086e-06,1.332963037532634009e-07,3.222824533416568085e-06
5.700000000000000000e+01,4.600704411252875297e-07,1.843290372750254149e-07,1.134788586183661325e-06
5.750000000000000000e+01,3.842195869958539055e-10,1.249877558042861510e-08,2.664285711308672355e-06
5.800000000000000000e+01,9.516388594270425729e-08,8.463461880704630769e-07,4.666432178281859911e-06
5.850000000000000000e+01,3.311735788130969983e-08,8.353828213531028590e-07,4.254568715645259546e-06
5.900000000000000000e+01,1.213821309075929340e-06,8.837536218849650036e-07,1.564383381246435308e-06
5.950000000000000000e+01,1.250387599929320015e-06,1.816614610949940627e-06,1.953373674922813134e-07
6.000000000000000000e+01,2.864666045939413155e-07,7.230021278233728705e-07,1.310626872475584713e-06
6.050000000000000000e+01,7.437952374226023765e-07,5.262421424497981264e-08,1.388314494531753803e-07
6.100000000000000000e+01,9.583395123228122705e-07,2.222051981028047598e-07,1.337861064006167603e-06
6.150000000000000000e+01,1.868038150952122052e-06,1.354159291980825527e-06,5.671007945085998322e-06
6.200000000000000000e+01,2.064587565619961832e-06,2.520305420633491286e-06,6.892189218356379278e-06
6.250000000000000000e+01,1.703773273597000286e-06,1.070262838397932718e-06,2.023438354911467568e-06
6.300000000000000000e+01,1.585523087885744736e-07,2.016017674762519337e-07,1.809125859666215621e-06
6.350000000000000000e+01,5.783582835421292673e-08,2.771413542193370578e-07,3.184148495881049348e-06
6.400000000000000000e+01,2.256172511851628963e-06,1.446303881901798733e-06,8.927807751852151724e-06
6.450000000000000000e+01,3.354578179014689852e-06,2.981371439710028968e-06,3.688179092147901770e-06
6.500000000000000000e+01,8.420832498289338257e-07,7.752890480194490844e-08,1.041553153320102997e-07
6.550000000000000000e+01,1.302878300365221818e-07,1.102540626183620668e-06,1.077049105613558938e-07
6.600000000000000000e+01,5.263785131948081927e-07,1.249837848646045954e-06,5.814426897017200089e-07
6.650000000000000000e+01,4.075019642622742165e-07,1.355706984940609256e-06,3.684658532448159557e-08
6.700000000000000000e+01,4.300505726786602408e-07,1.135231125926892365e-06,4.564877039803687568e-07
6.750000000000000000e+01,5.676704364632052549e-07,2.009542560263448848e-07,1.844645921893474405e-06
6.800000000000000000e+01,7.674380061639761965e-08,3.636988301608566904e-07,3.774357572309822693e-06
6.850000000000000000e+01,8.793103989694283791e-07,3.552702984143843467e-07,1.981469160191167651e-06
6.900000000000000000e+01,5.632449232983338688e-07,9.591452609999000739e-07,6.996152453240905521e-07
6.950000000000000000e+01,4.358900608867430960e-07,5.635882163544839435e-07,8.231652288696899729e-08
7.000000000000000000e+01,6.296623058568682026e-07,1.989337364082684145e-06,6.599588943355777245e-07
7.050000000000000000e+01,2.972020598754622770e-07,9.013413229185044501e-07,2.157331750987787645e-06
7.100000000000000000e+01,1.063030432261419079e-07,1.227629308478696349e-06,3.567146247178971981e-06
7.150000000000000000e+01,4.906190214490812821e-07,5.652780647676504571e-07,1.952822705747130763e-06
7.200000000000000000e+01,7.821937103561375997e-07,1.166899245360215280e-06,5.544655263085218359e-07
7.250000000000000000e+01,1.820334260244911467e-06,1.647224343831536460e-06,5.663765995467490913e-07
7.300000000000000000e+01,3.118509101094686172e-06,6.064343432362484899e-07,1.009466589782414141e-06
7.350000000000000000e+01,3.263374217060169544e-07,9.147609757789466488e-07,2.589597530382517380e-08
7.400000000000000000e+01,3.610835388570730116e-07,2.425193486392108035e-06,3.762953909888501458e-07
7.450000000000000000e+01,3.054981952203785900e-07,6.098301965631616323e-07,1.130479208437697904e-06
7.500000000000000000e+01,4.426599967746068723e-07,8.219786561062727514e-09,8.843159294124447169e-07
7.550000000000000000e+01,9.190625003991637885e-07,2.181902639145420536e-08,4.302890939561271537e-07
7.600000000000000000e+01,9.279146292660480314e-07,9.170335928002186606e-07,1.276723451758359859e-06
7.650000000000000000e+01,3.046723269565266597e-06,9.882556225197454355e-07,8.265576925376065209e-07
7.700000000000000000e+01,8.239361748288354993e-07,1.583729456266485174e-08,5.131815176183111591e-08
7.750000000000000000e+01,4.548484204732252498e-07,1.519624180221394580e-07,2.884833708892639937e-07
7.800000000000000000e+01,5.608273842281402906e-07,3.248395147072969422e-07,9.160025936634160891e-07
7.850000000000000000e+01,2.797895918604962097e-07,7.213770721071069304e-07,1.860667571031321612e-06
7.900000000000000000e+01,2.212908787033143527e-07,4.245893109127084449e-07,1.183837719152381997e-06
7.950000000000000000e+01,1.546791691383112250e-07,2.152526755830296198e-08,8.400939095447989317e-07
8.000000000000000000e+01,4.352436781515767836e-07,3.871138219642676745e-07,4.177988348794170297e-07
8.050000000000000000e+01,8.779325478924385737e-07,2.728037996106442552e-06,7.774818247833252932e-08
8.100000000000000000e+01,1.338186041535865897e-07,6.518410198076334045e-07,9.440369847552710818e-08
8.150000000000000000e+01,9.337011666914410920e-07,9.182197400632942020e-07,3.600936305600347088e-07
8.200000000000000000e+01,1.087395483597762568e-06,1.618671973386701919e-07,1.358587132591355116e-06
8.250000000000000000e+01,1.759622555999333316e-06,8.769261004737068210e-07,8.549377865037524307e-07
8.300000000000000000e+01,8.464021394989775394e-08,5.636661614860481132e-07,7.849636810320440716e-07
8.350000000000000000e+01,1.029056715675971282e-06,6.832405576200796055e-07,8.395701633024688502e-07
8.400000000000000000e+01,4.683185989750755799e-07,1.042227962863667564e-06,6.704646476711927772e-07
8.450000000000000000e+01,6.988035197797508346e-07,3.356702172239852439e-07,7.000513423443017104e-07
8.500000000000000000e+01,1.038291708465770147e-06,5.542838871290526321e-08,5.212833498236736024e-06
8.550000000000000000e+01,3.680423161580550138e-07,2.445989675447778475e-08,3.197975276818823590e-06
8.600000000000000000e+01,1.200328201995887858e-06,2.240078977829596430e-07,7.909242686273238652e-08
8.650000000000000000e+01,1.363188009868023109e-07,3.550909884570902351e-07,1.765324724094650815e-06
8.700000000000000000e+01,4.543809317597003153e-07,9.617433264246695793e-08,4.356540837333131637e-06
8.750000000000000000e+01,1.665727806029204752e-07,6.406585995383447541e-08,5.014143184333651295e-06
8.800000000000000000e+01,4.133781342584594717e-07,1.702960206507064048e-07,5.821313670707404964e-06
8.850000000000000000e+01,3.533659625659154808e-07,1.491290221415008626e-07,6.726272373485717415e-06
8.900000000000000000e+01,9.080848021926530030e-08,1.271514724454131386e-07,6.415851830978833625e-06
8.950000000000000000e+01,7.323456883219457802e-07,1.132739308450950648e-07,3.645674638837889859e-06
9.000000000000000000e+01,2.148017117338841989e-07,2.096860851337076775e-07,2.696844754447699781e-06
9.050000000000000000e+01,1.569562891737459639e-06,6.766154754788570834e-07,4.092994204579214015e-06
9.100000000000000000e+01,1.943470222955162086e-06,1.117935067312977155e-06,6.462503342574019841e-06
9.150000000000000000e+01,4.969049326707007581e-07,5.973660181795516779e-07,6.297035939291594530e-06
9.200000000000000000e+01,1.058309734902381170e-07,1.850697528491833123e-06,2.259393938533025713e-06
9.250000000000000000e+01,1.931766167574902025e-07,9.688371370099770713e-07,2.843844532740763130e-08
9.300000000000000000e+01,1.002409586852013469e-06,1.153889369495126656e-07,1.284189474931275732e-06
9.350000000000000000e+01,1.653749005520782047e-06,2.731689222678684628e-07,1.027127920491605785e-06
9.400000000000000000e+01,4.584246822038121562e-07,7.273258101205445771e-07,1.328552691401378516e-06
9.450000000000000000e+01,4.947224676973626237e-07,2.656848159248131542e-07,5.343796708114373062e-06
9.500000000000000000e+01,1.183818835827833282e-06,3.134315476354768022e-08,5.550999719762215537e-06
9.550000000000000000e+01,1.293071520470414338e-06,2.850896567895060065e-07,5.427935500246765023e-06
9.600000000000000000e+01,4.217699508579237330e-06,5.628356335592521439e-07,2.427052577442811297e-06
9.650000000000000000e+01,3.357022273145110310e-06,2.641000369170169938e-07,1.262346150476754911e-06
9.700000000000000000e+01,3.595858279814588320e-07,3.263257953503748704e-06,3.078430274085881471e-06
9.750000000000000000e+01,5.328615476010703240e-07,2.639084122258201968e-06,1.099393972613963105e-06
9.800000000000000000e+01,1.878126105382404250e-06,3.133681074330487922e-07,7.108431634424893932e-07
9.850000000000000000e+01,8.974530336216998130e-07,2.124446724985196021e-08,1.714850664447128847e-06
9.900000000000000000e+01,2.439829541391088697e-07,1.691125784896129871e-06,3.484847016410406894e-07
9.950000000000000000e+01,7.082515305764175645e-08,5.012968590713614983e-06,1.076569331247049063e-07
1.000000000000000000e+02,1.603311618269504041e-06,4.722586709891970869e-06,1.017151695372746781e-06
1.005000000000000000e+02,1.474345725441334415e-06,1.424529412054389940e-06,9.324217229134664630e-07
1.010000000000000000e+02,6.038420227077261123e-07,8.543146240897579868e-07,4.763277527176464170e-06
1.015000000000000000e+02,5.529664469792182419e-07,1.401421257447610503e-06,3.252114569294643772e-06
1.020000000000000000e+02,9.954417449715525596e-07,1.910156275089351216e-06,6.483487491465146973e-07
1.025000000000000000e+02,8.538287506272131621e-07,1.213881881246387652e-06,2.233542123351964318e-07
1.030000000000000000e+02,6.384475042606168455e-07,4.242298151332389691e-07,6.357004017106758696e-08
1.035000000000000000e+02,2.658596714565332330e-07,1.868214801484552526e-07,3.746878715196751297e-07
1.040000000000000000e+02,6.955790501300774539e-07,5.032758530677968172e-07,6.686490896367299389e-07
1.045000000000000000e+02,2.839720984075897106e-06,1.224185443070435970e-06,2.982734342167176804e-08
1.050000000000000000e+02,2.257353093597708982e-06,1.292669827296646504e-07,9.881029330047593845e-08
1.055000000000000000e+02,1.992232700176584499e-07,3.871872930478040403e-07,3.739028744695062307e-06
1.060000000000000000e+02,2.368217048952510253e-07,9.864118090556584828e-07,2.547716085764573005e-06
1.065000000000000000e+02,5.307749569004620839e-09,1.465204184040111829e-07,2.179967000463863222e-06
1.070000000000000000e+02,5.641240064537404867e-07,5.179925460654720659e-07,1.391526697726801176e-06
1.075000000000000000e+02,2.621711378133967060e-07,1.549713218246187795e-07,2.522868832564494027e-07
1.080000000000000000e+02,5.610781394681985911e-08,1.589962173523876986e-07,3.259059549190867301e-07
1.085000000000000000e+02,8.954293588475962429e-07,1.723505833711426285e-07,1.337647374845770200e-07
1.090000000000000000e+02,1.013968057634781961e-06,4.505569529794736296e-07,7.924112592711155536e-07
1.095000000000000000e+02,3.453200513169435799e-07,3.810364728461618431e-08,2.134090019048083886e-08
1.100000000000000000e+02,6.975859565783037869e-07,2.769131072717309261e-07,2.891638594556567568e-06
1.105000000000000000e+02,1.569469228336501986e-06,3.779987789297820948e-08,7.387957849123508542e-06
1.110000000000000000e+02,2.087104308481620239e-06,5.360469128767435352e-07,1.722058746422510893e-06
1.115000000000000000e+02,5.670317252368263091e-07,1.078901305207488054e-06,8.523339327447524804e-07
1.120000000000000000e+02,6.685668217469602460e-09,1.165504346343839674e-06,4.573967033657313567e-06
1.125000000000000000e+02,5.797146330844642119e-08,1.684983760159957856e-06,9.835716816757691011e-06
1.130000000000000000e+02,2.030268654642253755e-07,2.556286715913127111e-06,8.852653671498854270e-06
1.135000000000000000e+02,1.022559342627908053e-07,2.750170768566655932e-06,5.379957073132681548e-06
1.140000000000000000e+02,4.180560079064383791e-07,1.451252769590167732e-06,3.885938950886197610e-06
1.145000000000000000e+02,3.539056763175701836e-07,3.572222689977274541e-07,4.545155236080186015e-06
1.150000000000000000e+02,6.260312277189493950e-07,5.615366886553237031e-07,1.837814393923640742e-06
1.155000000000000000e+02,1.054734614211919839e-06,2.627695403075694469e-06,7.725971557894446853e-08
1.160000000000000000e+02,1.314488933041231930e-06,1.140881078548964517e-06,8.011617475723840954e-07
1.165000000000000000e+02,8.894234962278534598e-07,9.887359822801217708e-08,1.773158356945755480e-07
1.170000000000000000e+02,1.957389285122034240e-07,6.056578911044091037e-07,7.514600848347373845e-07
1.175000000000000000e+02,1.091109957800987850e-06,3.791390471201124247e-07,2.815854266243343270e-07
1.180000000000000000e+02,2.200224643417269710e-07,2.468773250788880649e-08,3.855773134715865821e-07
1.185000000000000000e+02,8.009956984059856157e-08,1.018693981195044967e-06,1.905141361220567365e-06
1.190000000000000000e+02,2.798541983271620184e-07,2.625622528245511958e-06,5.924531677655186537e-08
1.195000000000000000e+02,5.529053458213279798e-07,5.740230848044780299e-07,1.213675350213404518e-06
1.200000000000000000e+02,6.911393963738673061e-08,1.162202048996800531e-06,1.980086469164283993e-06
1.205000000000000000e+02,4.939166862695314035e-07,9.737851234439880196e-07,4.323789462263343497e-06
1.210000000000000000e+02,8.959735241149339737e-07,7.145952714067456492e-07,2.208056202401301156e-06
1.215000000000000000e+02,1.384015513888224004e-06,1.414820638534382178e-06,6.239435302586234126e-07
1.220000000000000000e+02,9.322865225390924007e-07,3.701499185400735899e-07,6.694607598963358377e-07
1.225000000000000000e+02,2.373367124125592460e-07,1.179244398339546083e-07,1.533220776166568787e-06
1.230000000000000000e+02,7.243706823572337695e-07,2.269060694723050081e-07,2.453167747870735757e-07
1.235000000000000000e+02,3.319825643659993587e-07,3.105681729631139892e-07,1.354434802310644822e-06
1.240000000000000000e+02,3.035801119360163540e-07,2.652216483115754245e-10,1.543980626894823585e-06
1.245000000000000000e+02,2.503325021376457812e-07,7.667914804645566174e-07,1.138577310595911029e-06
1.250000000000000000e+02,4.081393847380895310e-08,5.298843740944230661e-07,3.674649889637019982e-06
1.255000000000000000e+02,7.028847916966089683e-07,2.322982459328221865e-07,6.856171053787818592e-07
1.260000000000000000e+02,2.792566388395337168e-06,2.755298894707880807e-06,5.008040359688427433e-06
1.265000000000000000e+02,2.735569364986837905e-07,1.453879507952141323e-06,3.279842016949367524e-06
1.270000000000000000e+02,1.818676118540528812e-06,1.053195314727949726e-06,5.254100096036720938e-07
1.275000000000000000e+02,1.173474045814629537e-06,1.254714872335261340e-06,1.185933928956145389e-06
1.280000000000000000e+02,3.156248435065796034e-07,6.723128877479594806e-07,1.566500099856574343e-06
1.285000000000000000e+02,1.521548523302153916e-07,5.942216646996795861e-07,4.598010060768801225e-07
1.290000000000000000e+02,4.558173662778277617e-08,6.617669808802388947e-08,3.585231145864900897e-07
1.295000000000000000e+02,1.288180083116566843e-06,6.488734165328428208e-08,4.815169812527063125e-06
1.300000000000000000e+02,1.561946694853371935e-06,2.078330431267980080e-06,6.215370477304623731e-06
1.305000000000000000e+02,4.177883914733384991e-07,1.424172864293191653e-06,1.632030246698945782e-07
1.310000000000000000e+02,4.936756386615046309e-09,1.073330096631148886e-06,9.019296337900277581e-07
1.315000000000000000e+02,2.636790833916838619e-06,9.018055644755722089e-07,2.349772495978038029e-07
1.320000000000000000e+02,1.866219763367254883e-06,2.529125190909919173e-07,3.960279651224849973e-07
1.325000000000000000e+02,6.759289104084202636e-08,5.990438724132591291e-07,1.016776482066083816e-07
1.330000000000000000e+02,2.968046753306981554e-07,1.214302511358714712e-06,2.046875756490214792e-07
1.335000000000000000e+02,2.034175006872350349e-07,2.924247272336571771e-07,8.445933161972950758e-07
1.340000000000000000e+02,8.378445958629595845e-08,2.760626498022945983e-07,4.515903666155240065e-07
1.345000000000000000e+02,2.092602781039767734e-07,4.238377930647110508e-09,3.136248417174736032e-07
1.350000000000000000e+02,3.632184586800013642e-06,6.343565290972977012e-07,7.060408287635042495e-07
1.355000000000000000e+02,6.340431694657421534e-06,9.094773417726372010e-07,1.894739806435245361e-06
1.360000000000000000e+02,3.484294493490635014e-06,2.460632658162739578e-07,8.147942533484991344e-07
1.365000000000000000e+02,8.153003962327983321e-07,1.553572227438912713e-07,6.963338037685768583e-07
1.370000000000000000e+02,4.328492020461872294e-08,5.583350339448557669e-07,8.544166247364382703e-07
1.375000000000000000e+02,1.342742052341453960e-06,3.875382355673732584e-07,2.357898505593853834e-06
1.380000000000000000e+02,3.494897357779964279e-06,1.212779917904734686e-06,2.861139161098029753e-06
1.385000000000000000e+02,1.751661427486347093e-06,4.026121696038240693e-07,3.338959050972703127e-07
1.390000000000000000e+02,6.034632829190512081e-07,1.997027458245436664e-06,1.262190027672422922e-06
1.395000000000000000e+02,6.800810859458562324e-07,1.228399763650271696e-06,2.034177238824754294e-07
1.400000000000000000e+02,6.016157835971726926e-07,1.465086311169440587e-07,1.090467467995398199e-06
1.405000000000000000e+02,3.717971254184172632e-07,1.050782293698797731e-06,6.276123862513734046e-07
1.410000000000000000e+02,1.371806721115400262e-06,2.968439937067287616e-06,1.521956900461782599e-06
1.415000000000000000e+02,4.699591098491332760e-07,3.946185221368679643e-06,1.698392171314287754e-06
1.420000000000000000e+02,3.034096007698734007e-07,2.794920444717463335e-06,4.491613292940606663e-08
1.425000000000000000e+02,5.723069017594957473e-07,1.178500439057860638e-06,1.765066822030536783e-06
1.430000000000000000e+02,4.097684215494106485e-07,5.036490950757858769e-07,2.861767311594510795e-06
1.435000000000000000e+02,7.338023248723816053e-07,1.152549992158893909e-06,3.608786586544489627e-06
1.440000000000000000e+02,2.252342180352776230e-06,2.877018266618972846e-06,2.896804723910345092e-07
1.445000000000000000e+02,1.136957007866803206e-06,3.288785907087942752e-06,9.482366294260205944e-07
